sentiment,text
4.0,"(لو, سمحت, اسعار, هيونداى, فيرنا, بعد, الخصم, ولو, دفعت, الف, اقسط, كام, كل, شهر, ولمدة, كام, سنه, برجاء, الرد, وشكرا, وما, هى, الاوراق, المطلوبه, انا, موظف)"
0.0,"(لو, سمحت, هو, مفيش, فروع, فى, اسيوط, او, قريبه, منها)"
0.0,"(هو, فى, فيرنا, ولا, لأ, ؟, ولو, مش, موجوده, ال, بكام)"
0.0,"(هى, الناس, دى, بتشتغل, ايه, علشان, تيجيب, عربيات, بالمبالغ, الكبيرة, دى)"
0.0,"(كام, سعرها)"
0.0,"(الافرع, اتصلت, بى, وقالت, غير, موجوده, الان, ........اريد, منكم, تحديدا, المعرض, المتواجد, به, جراند, ه, هاتشبك, وتحياتى)"
0.0,"(فيرنا, نزلت, واسعار, فئتها, ايه, لو, سمحت, ؟)"
0.0,"(يؤسفني, ان, أقول, الشركة, تترك, العملاء, فريسة, لجميع, الموزعين, الذين, لا, يقومون, بتنفيذ, الخصومات, المطروحة, خلال, شهر, رمضان)"
0.0,"(لو, سمحت, انا, معايا, ماتريكس, اوتوماتيك, ينفع, استبدلها, ب, ix, ويا, ترى, سعرها, كام)"
0.0,"(حضراتكم, فتحتوا, فرع, فى, اسوان..., كورنيش, النيل)"
2.0,"(كل, سنة, وجميع, العاملين, بخير, مواعيد, رمضان, لو, سمحتم, علشان, عندى, صيانة)"
2.0,"(وانتو, طيبين)"
1.0,"(لو, سمحت, عايز, اعرف, سعر, الاكسنت, ار, بى, فل, اوبشن)"
0.0,"(هيونداي, خلاص, راحت, عليها, كانت, شركة, محترمة, جدا, لدرجة, بيعت, عربيتي, اكسنت, كانت, عاملة, واشتريت, اكسنت, rb, وللاسف, سيئة, من, اول, مااشتريتها, وانا, شبة, مقيمة, في, مركز, الصيانة, في, طريق, الإسماعيلية, بسبب, التكييف, وغيرت, الكومبرسور, وباردو, بايظ, وهي, خلاص, خارجة, من, الضمان, اخر, الشهر, الحالي, وانا, عاملة, ك, فقط, مع, اني, كنت, بنصح, اي, حد, يشتري, هيونداي, وكنت, بشكر, فيها, لكن, دلوقتي, للأسف, في, العدد, التنازلي, اما, انا, استعوضت, ربنا, في, العربية, لانها, ماتسواش, حاجة, بدون, تكييف.)"
7.0,"(مساء, الخير, يافندم, كنت, محتاج, اعرف, اسعار, النترا, اللون, الابيض, وكمان, هيونداي, توسان, برضه, اللون, الابيض, سعرهم, كام, وياريت, بقي, اسعار, الموديلين, اللي, تم, ذكرهم, في, السابق, من, اول, موديل, بليز, مش, عارف, اعرف, الاسعار, بقالي, اكتر, من, اسبوعين, ادور, ومش, عارف, السعر, الحقيقي, تحياتي, لحضراتكم, وكل, عام, وانتم, بخير)"
0.0,"(فعلا, واسال, مجرب, :d)"
0.0,"(كنت, عايزة, اسال, على, i, الاتوماتيك, منها, بكام, ؟؟, وليكو, فرع, فى, قنا, ولا, لا؟؟)"
0.0,"(عاوز, اشوف, شكل, اكسنت, بكام)"
0.0,"(سعر, الجيتس, كام)"
1.0,"(طيب, اللي, حاجز, قبل, رمضان, بكتير, و, زاد, عليه, السعر, من, وقت, الحجز, إلى, عند, اﻹستلام., إزاي, يعني, يزيد, عليا, السعر, واللي, لسه, هايحجز, ياخد, سعر, أقل, وماتقوليش, إبعتلنا, علشان, أنا, بعتلكم, المشكلة, و, رقم, تليفوني, و, إيميلي, ومفيش, رد., والمفروض, أروح, بكره, فرع, جامعة, الدول, علشان, أدفع, باقي, الفلوس, بسعر, ل, i, hatchback)"
3.0,"(من, فضلك, هيونداى, سوناتا, اعلى, فئة, سعرها, كام, ...؟)"
0.0,"(سعر, الفيرنا, الشكل, الجديد, كم)"
0.0,"(لو, سمحت, سبق, وارسلت, رسالة, للاستفسار, عن, الخصومات, المطروحة, وما, المقصود, بال, خصم, لانكم, غير, واضحين, وكمان, عاوزين, اخر, اسعار, سيارة, الشعب, فيرنا)"
0.0,"(هيونداى, i, جراند, سيدان, اتوماتيك, سعرها, كام, بعد, الخصم, الرجاء, الرد)"
0.0,"(كل, عام, وانتم, بخير)"
0.0,"(سعرها, كام)"
0.0,"(مش, حلو)"
-3.0,"(حلوة, بس, واطية, جدا, متنفعش, في, شوارعنا, اللي, كلها, مطبات)"
2.0,"(جامد, جدا)"
2.0,"(عبقرية,)"
0.0,"(لو, سمحتم, أسعار, الاكسنت, بعد, الخصم)"
0.0,"(لو, سمحت, اسعار, النترا, بعد, الخصم, ؟)"
0.0,"(هل, يوجد, جنوط, فضية, بدﻵ, من, السوداء, فى, آى, إكس, .)"
0.0,"(الفيرنا, لو, سمحت)"
0.0,"(الباشا, باشا, من, يومة)"
-5.0,"(عربية, خفيفة, وزبالة, وحرام, فيها, الفلوس, اصﻻ)"
6.0,"(عربيه, ممتازه, بدون, مجامله)"
0.0,"(عربيه, حلو)"
0.0,"(مش, فيه, موديلات, اقدم, عندكو, يعنى, مثلا, او, او, اقل, عادى, والسعر, يكون, اقل, من, كده)"
4.0,"(واللون, ده, ميتسرقش, غبور, نصاب)"
2.0,"(اكتر, من, رؤعه)"
-2.0,"(فى, مشكلة, فيرنا, م)"
0.0,"(جراند, اي, تن, سيدان, اوتوماتيك, بكام)"
2.0,"(اكسنت, متوفرة, وسعر, كام, وفرق, مع, من, غير, ؟)"
0.0,"(معلش, عاوز, اعرف, سعرهواند, ي, النترا, سياحي, بكام, قسط)"
0.0,"(عندي, اتوس, موديل, فابريقة, بالكامل, .., عداد, كم, ..., فضي, ..., تكيف, و, باور, و, كاسيت, و, كاوتش, جديد, ..., رخصة, لأخر, السنة, .., للبيع, ..., مرور, النزهة, ..., للاستعلام)"
0.0,"(سمعت, ان, شركة, هعيونداى, نزلت, شكل, جديد, من, الفيرنا, ,, ولحد, الان, مش, فاهم, هل, هتنتجو, الشكل, الجديد, من, الفيرنا, ده, ؟, ولا, هتكملو, انتاج, الشكل, القديم, ؟, ولو, مانتجتوش, القديم, ,, هل, الجديد, هيكون, بنفس, السعر, ج, ؟, ولا, السعر, الى, مطروح, ف, الدول, الى, نزلت, فيها, بـ, ج, ؟)"
0.0,"(ارجو, الرد)"
0.0,"(السعر, كام)"
0.0,"(السعر, كام)"
0.0,"(سعرالكاملة, اتوماتيك, كام)"
-1.0,"(اللينك, مش, شغال..., عايز, اعرف, السعر)"
0.0,"(القسط, كام)"
0.0,"(السعر, كام)"
0.0,"(أنا, استخدم, الأصلي, حتي, لو, مش, اسبور)"
0.0,"(الاصلى, بيحمى, العفشه, ويحافظ, عليها)"
0.0,"(الأصلي, طبعا)"
0.0,"(الجنط, الاصلى, طبعا, عشان, هو, ده, اللى, يحافظ, على, ادء, السياره)"
0.0,"(الاصلي, عشان, بيحافظ, علي, العربية)"
0.0,"(تغير, الجنط, الي, اعرض, او, بما, يخص, الثبات, فمو, يجعل, استخدام, البنزين, اكثر)"
3.0,"(ديه, سيارة, لوز, لوز, ونعمة, سيارة, ممتعة, في, السفر)"
0.0,"(سعرها, وصل, كام, دلوقتى)"
0.0,"(اشتريت, فيرنا, جديدة, ولسه, معملتش, صيانة, الــ, كيلو, مع, العلم, اني, وصلت, لــ, كيلو, حتى, الان..., هل, في, مشكلة؟؟)"
0.0,"(موجود, فئة, تانية, ابيض, ممكن, الرد؟)"
0.0,"(وسمحت, ممكن, اعرف, السعر, كم, علي, اعلا, فئه, المكينه, بس, وفي, مصريف, تاني, ادفعه, علي, تركيب, الؤحه, معلش, انا, برا, مصر)"
0.0,"(هذا, التعبير, (((, مش, ها, يخليك, تشيل, هم, السواقة, ))), اسلوبه, هو, نفى, النفى, والاصح, هو, القول, ها, يخليك, تنسى, هم, السواقة)"
0.0,"(هو, اى, حد, تقوله, اتصل, بخدمه, العملاء, انت, عبيط, ما, تقول, يا, خويا)"
0.0,"(عربية, خفيفة, بعد)"
0.0,"(بكاااام.,)"
0.0,"(السعر, كام, ؟)"
0.0,"(ممكن, اعرف, اكسنت, ار, بى, نزلت, والا, لسه)"
4.0,"(جامده,)"
0.0,"(جامد,)"
0.0,"(رؤؤؤؤؤعه,)"
5.0,"(والله, انتوا, ناس, محترمه, عن, الاخ, منصور, شيفروليه, لما, الواحد, يسال, على, سعر, عربيه, عندكوا, جميع, البيانات, تكون, على, الصفحه)"
0.0,"(فلاحى, طحن, ....وحشه)"
2.0,"(حلوة, بس, لو, غيرت, اللون, الموv, ♥♥♥♥)"
-3.0,"(عيب, لما, دكتب, ديه, تكتب, دي)"
0.0,"(يا, سوسو, يا, هيونداي, دمك, شربات, يا, مضروبه, 😂😂😂)"
0.0,"(بعد, انتهاء, البشريه, ان, شاءالله)"
0.0,"(ههههههههه,)"
1.0,"(من, فضلكم, هو, انا, ممكن, ازود, سمعات, في, الجراند, من, الخلف, بدون, ما, اخرج, من, الضمان, وهل, ينفع, اركبها, في, التوكيل, وﻻ, خارج, التوكيل)"
0.0,"(فيها, كاميرا, خلفية, ونظام, ملاحة, ؟)"
0.0,"(السعر, كام)"
1.0,"(شكرا, على, النصيحة)"
0.0,"(الكوتش, انواع, كثيره, اما, بلنسبه, للاسهم, لازم, تركب, في, اتجاه, الدوران, و, اركبت, العكس, تعمل, صوت, مروحه, في, المشى, ذ)"
0.0,"(ايه, افضل, نوع, كاوتش, مقاس, ١٥)"
0.0,"(طيب, عند, المارشدير, ها, تنزل, تبدل, العجل, عشان, الدوران, يبقى, مع, السهم, --, عجبى)"
0.0,"(كل, شىء, مكذبينة, امرنا, بقى, غريب, جدا, والله)"
2.0,"(ياريت, نشكر, كل, اللى, بينصحنا, لمصلحتنا, ياشباب)"
0.0,"(برجاء, تنزيل, صور, لأنواع, الاطارات, والتعرفعليها, والغرض, من, استخدام, كل, منها)"
-6.0,"(للاسف, بشوف, ناس, كتير, ما, بيعروفش, خطأ, الموضوع, ده)"
1.0,"(ربنا, يحسن, لينا, الحال)"
-1.0,"(انا, معاية, وحدة, جايبه, معي, من, الكويت, وعايز, ابعها)"
-3.0,"(مشكلة, الكوبيه, دى, ان, مفيش, منها, اوتوماتيك, ._.)"
0.0,"(انتو, هتنزلوها, عندكو)"
0.0,"(مالهاش, حل, بجد)"
0.0,"(ممكن, اعرف, الالوان, المتوفرة)"
0.0,"(عشان, من, الطبيعي, واحنا, بنجري, بالعربيه, مش, بنحس, بالصوت, زي, واحنا, واقفين, وعشان, تركيزنا, يزيد)"
0.0,"(عشان, تسمع, صوت, التصادم)"
0.0,"(عشان, اركز, اوى, على, المكان, و, متتخبطش, لو, دخلت, فى, مكان, ديق)"
-1.0,"(عشان, التركيز, و, لو, حصلت, حكة, ولا, حاجه, نسمعها, يا, زوووق)"
0.0,"(عشان, لو, العربية, خبطت, في, حاجة, اسمعها, و, الحقها, بسرعة, :d, :v)"
0.0,"(دليل, أن, المزيكا, تفقد, الشخص, الذي, يسمعها, التركيز, المزيكا, شئ, غير, مفيد, و, حرام)"
0.0,"(عشان, اركز, اكتر, وخصوصاً, في, مصر, الواحد, لازم, يمسك, سماعه, من, القرف, اللي, بنركن, فيه, ازاز, شغال, مسامير, شغال, كل, انواع, الزبالة)"
0.0,"(انا, انهرده, كنت, بركن, سياره, في, مول, كان, صوت, التسجيل, عالي, في, السياره, كن, واحد, بيقولي, ارجع, فا, مكنتش, سامع, من, التسجيل, بس, صوت, الصفر, الي, في, السيار, انجازني, اني, كنت, هغبط, سياره, اكيت, انتو, فهمتوقصدي)"
0.0,"(عشان, يركز, في, الركنة)"
0.0,"(سعر, جراند, i, اوتوماتيك, كام, ...., السيدان, و, الهاتشباك)"
0.0,"(ولو, انا, ف, المهندسين)"
0.0,"(والاستلام, فى, خلال, قد, ايه؟)"
0.0,"(هاى, ممكن, اعرف, فيرنا, هتكون, شكل, جديد, ولا, زى, مهيا, وهتنزل, امتى, ومعاد, الحجز)"
0.0,"(واى, موديل, بيرخص, ولا, لازم, موديل, السنة)"
0.0,"(هوه, فى, مستعمل)"
0.0,"(موجود, بجميع, انواع, العربيات, بس, مشعارف, جت, مصر, ولا, لسه, ومشغليه)"
0.0,"(كنت, هبعها, :d, عشان, هيبقا, حرام, عليا, لو, بوظتها)"
0.0,"(هغسلها, كل, يوم, واحطها, فالجراش)"
0.0,"(جميله, جدا)"
0.0,"(عدي, ابنى, عندو, حده)"
0.0,"(كنت, هعلق, بيها, بنت, الجيران, واخدها, بيها, لفة)"
2.0,"(فعلا, فى, عيب, جدا, فى, الفرامل, خطير, جدا)"
2.0,"(بتجربتي, نع, سياره, هيونداي, ماتريكس, ارى, انها, شركه, محترمه, سواء, فى, البيع, او, الصيانه)"
0.0,"(فيها, عيب, خطير, في, الفرامل)"
0.0,"(سعر, هونداي, i)"
2.0,"(لو, سمحت, ياباشا, كنت, عايز, اعرف, من, الاكسنت, سعرها, كام)"
4.0,"(لو, سمحت, ممكن, تقولي, سعر, سياره, هيواندي, اللنترا, كام)"
1.0,"(لو, سمحت, فى, تقسيط)"
3.0,"(زومبى, ههههههههههههههههههههههههههه, انا, بحب, هيواندى)"
4.0,"(ههههه, ادمن, لطيف, امن, ظريف)"
0.0,"(ديه, يا, دوب, على, قد, الشوارع, في, مصر)"
0.0,"(ممكن, اسال, علي, هيواندي, فيلو, ستير)"
4.0,"(لو, سمحت, عاوز, اعرف, سعر, الرفرف, اليمين, الامامي, والفوج, لايت, ل, اكسنت, rb)"
0.0,"(ممكن, اعرف, سعر, النترا, وبصمة, بدون, فتحة, سقف)"
4.0,"(تحفه,)"
0.0,"(عربيتي, الجميله)"
4.0,"(حلوه, قوى, فتحة, السقف, الي, ورا)"
0.0,"(لو, سمحت, احنا, جبنا, ix, موديل, الفئة, الرابعة, فا, كنت, عايز, اعرف, فيها, ولا, لا)"
4.0,"(العربيه, جميله, جدا, وعجبانى, بس, فيه, شكوا, جماعيه, من, aps, بتعها, ارجو, الافاده, وشكرا)"
2.0,"(عيبها, الوحيد, انها, cc, ياريت, لو, تخلوها, مع, تيربو, يكون, افضل, او, تعملهوها, زى, باقى, دول, العالم, cc, h, او, cc, h, e)"
0.0,"(السعر,)"
0.0,"(تحفففففه,)"
0.0,"(اشمعنا, الفيرنا, يا, شركة, فاشلة, متظبتت, ش, لية, فى, الثبات, على, الطريق)"
0.0,"(ما, هى, الألوان, المتاحة, من, السيارة, الأكسنت, rb)"
-5.0,"(نصيحة, غير, صحية, هناك, عدة, أمور, لابد, من, مراقبتها, بأستمرار, حتى, لا, تحدث, كوارث, منها, الحرارات, وأمبير, لفات, الماتور)"
0.0,"(نفسي, ف, لمبه)"
0.0,"(فين, المواصفات, والصور)"
-2.0,"(ادمين, عنده, محو, امية)"
0.0,"(أنا, ،, بس, لما, أجيبها, الأول, 😁😃)"
0.0,"(أكيد, انا, أن, شاءالله, لما, اجبها)"
-7.0,"(عربية, زفت, اسوء, عفشة, في, مصر, كلها, اكن, قاعد, علي, حجر, و, دا, تجربة, شخصية)"
0.0,"(انا, معاى, هونداي, النترا)"
-6.0,"(وانا, معايا, برضو, ix, ممتازة, و, عاوز, الصق, الاستيكر, دى)"
0.0,"(نزلوها, هدية, مع, الصيانة, :d)"
0.0,"(انا, بحب, هيونداي)"
0.0,"(لو, عندى, فايت, هلزقها, 😂😂)"
0.0,"(لا, طبعا, :)"
0.0,"(انا, اجيبه, منين)"
0.0,"(ليه, مبتنزلش, الاكسنت, في, مصر؟, ولا, الجير, ؟, موجودة, في, الخليج, وطبعا, معروف, ان, الخليج, ظروف, التشغيل, اصعب)"
0.0,"(السعر, كام)"
0.0,"(الببج,)"
0.0,"(الاحمر,)"
0.0,"(الاحمر,)"
0.0,"(الاحمر,)"
0.0,"(الاحمر,)"
0.0,"(الفسدقى,)"
-6.0,"(انا, كان, عندي, مشكلة, في, عربية, وكتبتها, محدش, رد)"
0.0,"(اﻻسمر, طبعا)"
0.0,"(السعر, كم, ؟)"
0.0,"(هذة, السيارة, ما, نزلتش, مصر)"
0.0,"(هوا, ممكن, الأطفال, يزورو, الفروع)"
0.0,"(في, حاله, الزيرو, تحتاج, تلين)"
0.0,"(هل, يمكن, تطوير, المحرك, بسرعة, كلم)"
0.0,"(علي, فكره, مفيش, حاجه, اسمها, يعطل, وانت, سايق, بسرعه)"
0.0,"(انا, نزلت, الصبح, اروح, الشغل, لاقيت, العجله, نايمه, واضح, ان, هيونداي, هيه, اللي, عملتها, وبعدين, رفعت, البوست, دا, هههههههههههه)"
1.0,"(شكرا,)"
3.0,"(انا, احب, هيونداي, جدا)"
1.0,"(لو, سمحت, هل, موجود, هيونداى, ماتريكس, -, و, لو, موجودة, اسعارها, ايه)"
0.0,"(هيا, الأكسنت, اتوماتيك, فتحت, سقف, موديل, مش, هتنزل)"
0.0,"(أعلى, فئه, سعرها, كام)"
0.0,"(تاني, فءه, فتحه, سقف, سعرها, كام, لو, تسمح)"
1.0,"(غاليه, ع, الفاضي, ومافيش, فيها, اى, جديد)"
-2.0,"(العربية, كورى, مجهزة, طبيا, استيراد, من, المنطقة, الحرة, بور, سعيد, باسم, هيونداى, بافيتا, تى, آر)"
0.0,"(س, س, وهل, هناك, لون, دهبى, او, سلفر)"
6.0,"(عايزين, عربيه, شكلها, حلو, وسعرها, حلو, وأدائها, حلو)"
0.0,"(نفسي, يارب)"
0.0,"(اقسم, بالله, الي, عايز, يركب, عربية, شيك, وماتور, قوي, وتقنية, حديثة, مفيش, غير, هيونداي, بتجمع, كل, دة, .., يا, هيونداي, ياجامد)"
0.0,"(بكام,)"
0.0,"(هي, اللي, موجوده, ال, ٢٠١٦, الشبكه, الجديده)"
0.0,"(روسيا, {, على, فكرة, دا, الكرملين})"
0.0,"(البندقية, يا, عم, الحاج)"
0.0,"(فرنسا,)"
0.0,"(في, شبرا)"
0.0,"(ايطاليا,)"
0.0,"(العتبه,)"
0.0,"(ڤيرنا,)"
0.0,"(شبه, البريلنيس)"
0.0,"(جينيسس, كوبيه)"
1.0,"(كنت, عاوز, اعرف, سعرها, كأم., كاش, مع, فتحه, سقف, وهل, موجوده, بالفعل, ولا, لِسَّه, مش, موجوده, وشكرا, أرجو, الرد)"
0.0,"(بكام, النترا, الفئة, الثالثة, كاش)"
0.0,"(عندكم, تقسيط, مباشر)"
0.0,"(ممكن, لو, سمحت, اول, ما, تتوفر, السياره, تعرفونا, بلخبر, وهو, هيبقى, خبر, سعيد, جدا, وشكرا)"
0.0,"(هي, السوناتا, في, منها, في, مصر, ولا, لا)"
-1.0,"(ممكن, وحده, من, دي, ليه, انا, زي, اختوكه, بردوه)"
0.0,"(العربية, اتوقف, تصنعها, من, قبل, هيونداى)"
0.0,"(انا, عندي, فيلوستر, ومضايق, جدا, ان, الشركه, مش, بتنزلها, كماليات)"
0.0,"(يا, خرابي, ع, الجمال)"
0.0,"(سعرها, كام)"
2.0,"(روعه,)"
1.0,"(اللى, يروح, يعمل, صيانه, فى, مراكز, صيانه, غبور, يبقى, مستغنى, عن, عربيته, ﻻن, المصنعيه, غاليه, على, الفاضى, ومابيعملوش, اى, صيانه, في, العربية, وكمان, بيحطوا, ميه, حنفيه, بدل, الميه, الخضره, بتاعة, التبريد, (الرادياتير), اللى, عندهم, كويس, ان, قطع, الغيار, اصليه, لكن, سعرها, فى, العالى)"
0.0,"(بكام, بقي)"
0.0,"(السلام, عليكم, لو, سمحتم, عاوز, اعرف, الفرق, بين, النترا, &, وسعر, اعلي, فئه, كاش, اخر, سعر)"
0.0,"(ممكن, اعرف, فيرنا, هتنزل, امته)"
2.0,"(ممكن, مركز, صيانة, محترم)"
0.0,"(غاليه, جدا, ومتساويش, تمنها, واي, عربيه, صيني, احسن, منها)"
0.0,"(اوكي, العربيه, فخمه, وشيك, بس, ورق, وخفيفه, خالص, علي, الطريق, ومش, بتاعت, سفر, خالص)"
2.0,"(الشكل, الجديد, نزل, في, الخليج, امتي, يكون, متوفر, في, مصر, ارجو, الاهتمام, والرد)"
3.0,"(فعلا, سيارة, مريحة, جدا, انا, اشتريت, النترا, وتسلم, الايادى)"
0.0,"(جامده,)"
0.0,"(شيك, جدا, جدا)"
0.0,"(جاااااامد, جدا)"
0.0,"(سعر, هيونداي, i)"
2.0,"(حلوة, أووووي)"
0.0,"(شأ, لشه)"
0.0,"(ممكن, اعرف, هل, فى, ix, وسعرها, كام)"
0.0,"(قطع, الغيار, فى, التوكيل, غاليه, و, فرق, سعرها, كبيرجدا, عن, محلات, البيع, ونفس, الشئ, المصنعية, عيدوا, النظر, لا, يوجد, اى, ميزة)"
3.0,"(ممكن, اذا, سمحت, اعرف, انا, حصل, في, العربية, بتاعتي, خدش, صغير, في, اﻹكصدام, من, اﻷمام, ليها, حل, أو, ينفع, تصلح, ممكن, الرد)"
1.0,"(شكرا, على, الواجب, دة, مزتنى, المعطر)"
0.0,"(انا, كمان)"
0.0,"(اعملوا, حسابي)"
0.0,"(اكيد, انا)"
0.0,"(اكيد, انا, اتمنى)"
0.0,"(سعركام,)"
0.0,"(معقول, جنيسس, هتنزل, مصر...)"
0.0,"(جميله,)"
0.0,"(طبعاااا!!,)"
0.0,"(ممكن, اعرف, سعر, النترا, الفئة, الثالثة)"
0.0,"(عايز, اعرف, اسعار, ال, i)"
0.0,"(عربيتى, 👍👍👍👍👍)"
0.0,"(انا, عاوز, فرع, اسكندرية)"
0.0,"(على, فكره, انا, حاجزه, i, جراند, بس, طبعا, ما, وصلتش, لغايه, دلوقتى, بس, مش, شكلها, زى, الصوره)"
0.0,"(بخصوص, قطع, الغيار, هو, ينفع, ان, شركة, محترمه, تبيع, عربيات, موديل, ومن, غير, مايبقى, فى, قطع, غيار, متوفره, للعربية, يعنى, عربية, متباعش, منها, عربية, فى, مصر, لغايه, دلوقتى, وملهاش, قطع, غيار, عربيتى, تفضل, فى, التوكيل, شهر, علشان, مفيش, قطع, غيار, انتو, بتهرجوا, وياريت, عارفين, تردو, هاتسلموهالى, امتى, ولا, بتعتذروا, ولا, بتفكروا, هاتعوضوا, عميلكوا, ازاى, انا, بعت, شكوى, فى, حماية, المستهلك, وهيونداى, كوريا, علشان, توكيل, غبور, بيستهبل, عربيتى, جراند, اى, تن, واول, دفعة, نزلت, مصر, وشركتكم, معندهاش, قطع, غيار, ليها)"
0.0,"(حد, جربها, .)"
10.0,"(موديل, اسمه, توسان, فقط, واجمل, مليون, مره, وشكل, مختلف, ورائع, و, cc, اتمنى, ينزلوها, لانها, روعه, ولا, يوجد, حاجه, اسمها, اى, اكس, لسنه, حرام, الضحك, ع, الناس, حرام, والله)"
-1.0,"(مفيش, اخبار, عن, ix)"
0.0,"(سعر, اكسنت, pb, اول, فئة, كام, لو, سمحت, ؟)"
0.0,"(سعرها, كام, وفي, فرق, بين, و)"
1.0,"(لو, سمحت, يعني, ممكن, تشتري, ونستلم, في, اد, اي, كاش)"
0.0,"(نفسي, اشتريها, واهديها, لك)"
0.0,"(جميله,)"
0.0,"(الكرو, احسن, طبعا, مكيف, صحراوى, مكينه, محصلتش, كبينه, كول, حاجه, فيها, حكايه)"
4.0,"(عايزة, منها, عشرة, لو, سمحت, ممكن, ؟, انا, عارفة, ان, ممكن, برنامج, خيري, رمضان, .تشكر, يا, حاج)"
9.0,"(الشكل, اكتر, من, رائع, بس, كان, ممكن, تضيف, إمكانيات, قوة, المطور, ايه, مميز, فيها)"
0.0,"(اعتقد, التصاميم, ديه, بتكون, خيال, علمى)"
0.0,"(لو, انت, هاى, اركب, هيونداى)"
5.0,"(من, فضلكم, تقولولنا, امتى, حتتوفر, العربيات, ال, i, المانيول)"
0.0,"(طب, متجربوا, تسيبوها, فى, شارع, فى, منطقة, شعبية, وحنشوف, حتقعد, قد, ايه, فى, ايد, اﻻطفال, هناك)"
0.0,"(القرود, ركبت, عربية, و, انا, لسه, 😢😢)"
7.0,"(جميلة, جدا, هيونداي, انا, بعشق, العربية, دي, ربنا, يتوب, عليا, من, اللانوس, .....)"
0.0,"(فى, رسالة, جمبى, من, شخص, عزيز, عليا, بتقول, (, كذابين, اوى, ))"
0.0,"(ههههههههه, هنا, في, مصر, بيختبروها, في, البني, ادمين, ههههههه, واهو, كله, قرود, ياباشا)"
0.0,"(كدب, عربيتی, بنزل, كل, يوم, الاقی, سقف, مطبق, ولا, اكصدام, مدلدل, بقيت, بخاف, اسند, ايدی, ولا, ضهری, عليها, تطبق)"
0.0,"(هى, صورة, العربية, الجديدة, اللى, على, الموقع, المصرى, ولا, الصورة, دى, اللي, على, الفيس, واللى, موجودة, على, النت, يعني, الشكل, الخارجى, اتغير, ولا, لا, شكرا)"
0.0,"(نظام, التقسيط, ايه, لو, سمحتم)"
0.0,"(الهاى, لاين, فيها, كاسيت, تاتش, و, جى, بى, اس؟)"
0.0,"(سعر, النترا, كام, لوسمحت)"
0.0,"(ممكن, اسال, متوفره, فين, واه, سعر, اول, فئه, فيها)"
0.0,"(بكام,)"
0.0,"(أنا, عاوزه, اللون, ده, 😀)"
0.0,"(بكام,)"
0.0,"(بكام,)"
0.0,"(لو, ممكن, نعرف, مواصفات, الفئات, الموجوده, واسعارها)"
2.0,"(بُكامُ, كاشَ, ؤٌقًسّطِ, مُعّايّهّ, سّبُعّيّنَ, مُقًدًمُ)"
0.0,"(انت, فاضي)"
